"","J","J_centerRange","daySq","edate","J_daySq","fittedP","lwrCIP","uprCIP","fittedR","lwrCIR","uprCIR"
"22",337,0.0563191755954754,0.00317184953975399,2011-12-03,"0.0563191755954754_0.00317184953975399",0.0917861411111427,0.0401268509928277,0.196347377045249,2.85473259063112,0.818770890390571,9.95333158476604
"23",340,0.140797938988688,0.0198240596234623,2011-12-06,"0.140797938988688_0.0198240596234623",0.0897122998533783,0.0397569526765758,0.190016348220957,2.41600380301555,0.697749057157205,8.36557830685891
"24",343,0.225276702381902,0.0507495926360641,2011-12-09,"0.225276702381902_0.0507495926360641",0.0840197713611491,0.0378085086406728,0.176360032317102,1.96100754147196,0.573695202920301,6.70312486165955
"25",346,0.309755465775115,0.0959484485775584,2011-12-12,"0.309755465775115_0.0959484485775584",0.0753418738843246,0.0344191977275287,0.157008001502154,1.52654771654633,0.454708979521732,5.12492173201393
"26",349,0.394234229168328,0.155420627447946,2011-12-15,"0.394234229168328_0.155420627447946",0.0646163724534505,0.0298663295757878,0.134205460204926,1.13970111687643,0.346497201202288,3.74871321125352
"27",352,0.478712992561541,0.229166129247226,2011-12-18,"0.478712992561541_0.229166129247226",0.0529378873546195,0.0245537855890413,0.110419642883868,0.816058013152461,0.252669695325295,2.63565711737997
"28",355,0.563191755954754,0.317184953975399,2011-12-21,"0.563191755954754_0.317184953975399",0.0413815734410088,0.018983072959893,0.0878420542719959,0.560403144116063,0.175120027487337,1.79335104294612
"29",358,0.647670519347967,0.419477101632465,2011-12-24,"0.647670519347967_0.419477101632465",0.0308367775431334,0.0136926961383749,0.0679670863579378,0.369087691693657,0.114354918819849,1.19125373499987
"30",361,0.73214928274118,0.536042572218424,2011-12-27,"0.73214928274118_0.536042572218424",0.0218930857487744,0.00915355470740931,0.0514424402704231,0.233135297314492,0.0696789029314299,0.780036202742796
"31",364,0.816628046134393,0.666881365733276,2011-12-30,"0.816628046134393_0.666881365733276",0.0148056977185663,0.00564914806850186,0.0382331829273339,0.141232930617538,0.0392665321306065,0.507983252110793
"32",2,0.901106809527606,0.811993482177021,2011-01-02,"0.901106809527606_0.811993482177021",0.00953825180324145,0.00321622575273883,0.0279389529503552,0.0820565738736228,0.0203397283228866,0.331040867851756
"33",5,0.985585572920819,0.971378921549659,2011-01-05,"0.985585572920819_0.971378921549659",0.00585521107953756,0.00169174542342763,0.0200592775967892,0.04572358333825,0.00965950112200329,0.21643416641131
"34",8,1.07006433631403,1.14503768385119,2011-01-08,"1.07006433631403_1.14503768385119",0.00342611557142359,0.000824189074033384,0.0141260732164943,0.0244352398936121,0.00420777921467598,0.141899305594709
"35",11,1.15454309970725,1.33296976908163,2011-01-11,"1.15454309970725_1.33296976908163",0.00191160806144755,0.000372841338339176,0.00973919975978629,0.01252398173177,0.00168496030177625,0.0930883168299938
"36",14,1.23902186310046,1.53517517724093,2011-01-14,"1.23902186310046_1.53517517724093",0.00101733244446829,0.000156952049012863,0.006563189942343,0.00615627077842812,0.000621945664833575,0.0609372683825515
"37",17,1.32350062649367,1.75165390832914,2011-01-17,"1.32350062649367_1.75165390832914",0.000516527446261701,6.15874487298673e-05,0.00431755086388663,0.00290230113510836,0.000212162869375178,0.0397022905264156
"38",20,1.40797938988688,1.98240596234623,2011-01-20,"1.40797938988688_1.98240596234623",0.00025024170439296,2.25555973467069e-05,0.0027699249476975,0.00131225035686542,6.70335202667653e-05,0.0256886553509437
"39",23,1.4924581532801,2.22743133929225,2011-01-23,"1.4924581532801_2.22743133929225",0.000115692839523851,7.71729706220122e-06,0.00173177766082726,0.000569036857396328,1.96506975273047e-05,0.0164779364511394
"40",26,1.57693691667331,2.48673003916713,2011-01-26,"1.57693691667331_2.48673003916713",5.10458754074845e-05,2.46848726143904e-06,0.00105457009866714,0.000236653844859826,5.35197587010634e-06,0.0104643674871101
"41",29,1.66141568006652,2.7603020619709,2011-01-29,"1.66141568006652_2.7603020619709",2.14949945354658e-05,7.38551004250673e-07,0.000625231593658504,9.43922203801056e-05,1.3556588451936e-06,0.00657236981108915
